customer_id,customer_name,gender,age_group,city_id,pincode,customer_segment,loyalty_tier,loyalty_points,join_date,email_id,phone_number,is_active
C-121,Upma Bahl,Male,25-35,1,531003,Regular,Bronze,5089,2021-09-05,duawilliam@example.org,1937452991,True
C-122,Devika Prashad,Male,25-35,3,319314,New,Silver,4620,2025-07-13,barmanidika@example.net,5185067165,True
C-123,Anamika Yohannan,Female,35-45,4,769453,Regular,Gold,4974,2025-06-01,mallickshravya@example.org,9965075273,True
C-124,Anya Anne,Male,35-45,2,136783,Premium,Silver,7609,2024-08-02,ysem@example.org,4363495788,True
C-125,Indira Setty,Female,45-55,5,443135,Regular,Platinum,5657,2021-03-17,rehaankalita@example.net,4989413435,True
C-126,Anusha Bath,Male,35-45,4,842710,Premium,Bronze,4636,2023-11-24,csrinivas@example.com,0471167190,True
C-127,Frederick Kothari,Female,45-55,1,869993,Regular,Platinum,5304,2025-02-02,cseshadri@example.com,4990913341,True
C-128,Naksh Agate,Male,45-55,6,797403,New,Gold,7870,2022-03-16,sudiksha13@example.com,6183242102,True
C-129,Reva Dash,Female,25-35,6,464887,New,Gold,4274,2023-02-02,sankaranekantika@example.net,0139904902,True
C-130,Pratyush Sarin,Female,45-55,5,175655,New,Bronze,4853,2024-06-19,forumsabharwal@example.net,4680715451,True
C-131,Odika Bhagat,Female,25-35,5,859770,Premium,Gold,3692,2021-09-14,bhavnasarma@example.net,1093248086,True
C-132,Jacob Dube,Female,45-55,4,484677,Regular,Platinum,6971,2021-12-10,leelahalder@example.net,1465840449,True
C-133,Veda Pai,Male,45-55,6,886753,Regular,Silver,2116,2026-04-21,leelakaur@example.com,5766270289,True
C-134,Tanmayi Aurora,Female,35-45,6,621745,Premium,Silver,1565,2024-03-09,vbuch@example.net,5780913431,True
C-135,Ojas Mistry,Male,45-55,2,050455,New,Silver,1968,2023-01-18,nishagole@example.org,1969379237,True
C-136,Udyati Mani,Female,45-55,8,175946,Premium,Platinum,1815,2024-08-01,mmittal@example.com,1369594406,True
C-137,Watika Mangat,Male,35-45,7,953394,Regular,Silver,4349,2024-07-05,gunbirbaral@example.com,0952145623,True
C-138,Nitesh Kurian,Female,35-45,6,451712,Regular,Bronze,2219,2024-12-17,mekhalapau@example.org,0481754965,True
C-139,Falak Kant,Female,25-35,5,746120,Premium,Bronze,2584,2026-02-05,waida11@example.org,6758692617,True
C-140,Kamala Kalla,Male,25-35,2,735158,Regular,Bronze,2265,2025-11-01,darsh64@example.org,7139005329,True
C-141,Tarak Kaul,Female,18-25,10,290422,Regular,Gold,2956,2023-09-12,imaranbal@example.org,5395024026,True
C-142,Saumya Pathak,Female,18-25,3,783908,Regular,Gold,7981,2022-04-14,bhatvarenya@example.com,1771159212,True
C-143,Lakshmi Wali,Female,25-35,1,789611,New,Gold,100,2025-07-18,qushiseth@example.org,5766156545,True
C-144,Frederick Chander,Female,45-55,10,152809,New,Silver,1510,2026-02-28,jason65@example.net,0494519832,True
C-145,Jhalak Contractor,Female,45-55,1,936899,Premium,Bronze,3282,2024-06-29,lokeayush@example.org,4550229612,True
C-146,Krisha Saini,Male,18-25,8,525459,Regular,Gold,4610,2024-01-11,dugalnakul@example.net,1476797643,True
C-147,Indrajit Mander,Male,25-35,5,840369,Premium,Silver,3409,2020-10-28,charvikakar@example.org,4510762268,True
C-148,Ekbal Ranganathan,Male,45-55,10,607159,New,Bronze,2435,2023-01-15,ssahni@example.org,0529751613,True
C-149,Meghana Mukherjee,Female,35-45,10,352181,Premium,Silver,6062,2023-08-22,ikshitapanchal@example.net,3124329212,True
C-150,Ekantika Mutti,Male,25-35,2,717744,Regular,Silver,1286,2024-01-01,yashica14@example.com,0054119986,True
C-151,Shivani Guha,Male,18-25,4,978207,Regular,Platinum,3690,2021-02-10,frado82@example.org,7788925546,True
C-152,Gaurika Bhatti,Female,35-45,10,186449,Premium,Gold,5791,2025-09-01,finn92@example.com,6291486528,True
C-153,Andrew Patil,Female,18-25,5,235733,Regular,Bronze,6453,2026-06-01,farasmerchant@example.org,5929622292,True
C-154,Wazir Sawhney,Male,45-55,10,738347,Premium,Silver,5305,2025-11-06,jhalaksastry@example.com,6886239240,True
C-155,Zaitra Dash,Female,25-35,3,124782,Premium,Platinum,6493,2025-06-01,kapadiashravya@example.com,6068536153,True
C-156,Madhav Devan,Female,45-55,5,472779,Premium,Silver,2491,2020-07-13,bahlaahana@example.org,8986143410,True
C-157,Dev Choudhry,Female,45-55,7,980893,New,Platinum,326,2024-10-01,pushti09@example.com,9621851888,True
C-158,Upma Bassi,Female,35-45,7,540515,Premium,Platinum,7879,2021-12-05,natarajankiaan@example.org,8527722170,True
C-159,Benjamin Mutti,Male,35-45,10,868740,Premium,Bronze,1435,2024-12-15,bhavikaparikh@example.org,4156676527,True
C-160,Fitan Samra,Female,35-45,8,692845,Regular,Bronze,3570,2021-02-08,chakrika47@example.net,2757059640,True
C-161,Azaan Dhar,Male,45-55,8,021355,Regular,Silver,2630,2022-10-07,dubeshivani@example.com,7192856543,True
C-162,Zarna Ram,Male,35-45,2,447394,New,Silver,2361,2024-08-09,hiyengar@example.org,7271551884,True
C-163,Yashoda Kapur,Male,45-55,7,323705,Premium,Gold,2648,2023-10-12,unni82@example.net,1467866912,True
C-164,Zansi Padmanabhan,Female,18-25,2,892268,New,Silver,1536,2025-11-21,dashzarna@example.org,2253584143,True
C-165,Girik Thakkar,Female,45-55,9,992299,New,Bronze,1667,2022-07-01,balakrishnanfinn@example.org,3969078447,True
C-166,Elijah Bhasin,Male,35-45,5,767735,New,Bronze,3970,2024-02-02,eiravati56@example.org,8815371473,True
C-167,Leena Sahota,Male,25-35,2,259532,Regular,Gold,112,2023-06-13,ttara@example.com,1687339500,True
C-168,Bhavika Yadav,Female,18-25,9,162456,Regular,Bronze,7478,2022-08-31,kbehl@example.net,5841687849,True
C-169,Meera Prakash,Female,18-25,2,852398,Regular,Silver,5870,2022-11-16,bathbalvan@example.org,7872982595,True
C-170,Gayathri Tripathi,Female,45-55,5,947055,New,Bronze,1996,2024-06-27,ymorar@example.net,9749930972,True
C-171,Xavier Balay,Male,45-55,8,307562,Regular,Bronze,4163,2022-12-11,nirjathaker@example.net,0283857865,True
C-172,Irya Lalla,Male,35-45,3,334843,New,Gold,6452,2026-01-26,bhavya37@example.com,5844198665,True
C-173,Farhan Pal,Female,18-25,9,473384,Regular,Bronze,6860,2026-01-08,laksh19@example.net,3083301657,True
C-174,Niharika Soni,Female,25-35,10,345401,New,Silver,2827,2024-05-11,baljiwangill@example.com,0672400499,True
C-175,Wakeeta Desai,Female,45-55,6,431527,Regular,Bronze,5713,2024-05-02,akshaynazareth@example.com,2966851612,True
C-176,Abeer Lal,Female,25-35,4,374549,New,Platinum,6100,2024-10-11,laljagvi@example.net,0174268414,True
C-177,Kiaan Sridhar,Female,45-55,8,795687,Regular,Silver,303,2024-12-24,yugbumb@example.net,8519108839,True
C-178,Zinal Sathe,Female,18-25,3,397187,New,Platinum,7458,2025-04-14,gdeo@example.com,9087406403,True
C-179,Hemangini Bhatt,Male,25-35,8,170462,New,Bronze,7945,2025-01-18,yprasad@example.com,6182512868,True
C-180,Chanchal Sheth,Male,45-55,3,863375,Regular,Gold,5674,2021-06-02,isaiahbalay@example.net,9033119079,True
C-181,Reva Kaur,Male,35-45,7,028439,New,Bronze,5134,2022-05-22,warjas42@example.net,6440892687,True
C-182,Omaja Rege,Male,18-25,8,462873,Regular,Silver,7544,2025-07-11,maanas70@example.net,6882634351,True
C-183,Charan Loyal,Male,18-25,5,990139,New,Bronze,6228,2024-10-14,varenyajoshi@example.com,0331739363,True
C-184,Unnati Walla,Female,25-35,2,445877,Regular,Bronze,376,2021-01-31,nnagarajan@example.com,6093204899,True
C-185,Forum Karpe,Male,35-45,6,937854,Regular,Silver,1192,2025-01-06,dswaminathan@example.org,2287280801,True
C-186,Vihaan Bir,Female,25-35,4,038750,Regular,Gold,4992,2024-02-27,bsura@example.org,0084840862,True
C-187,Wridesh Handa,Male,45-55,7,546156,Regular,Gold,5225,2023-03-20,upkaarmital@example.net,0166687002,True
C-188,Girish Wable,Female,35-45,5,339740,Premium,Bronze,3811,2025-12-20,bachittar25@example.org,9261429396,True
C-189,Farhan Tella,Male,18-25,5,016315,New,Bronze,4813,2024-01-30,bnarain@example.net,7735866296,True
C-190,Ethan Butala,Female,35-45,5,262655,New,Bronze,1631,2021-02-17,morarsai@example.com,1212678886,True
C-191,Girik Nair,Female,18-25,7,046618,Regular,Silver,2940,2025-11-09,omkaarrai@example.org,4447212646,True
C-192,Zayan Koshy,Female,35-45,10,993712,Premium,Bronze,5392,2022-04-21,nnatarajan@example.com,7569245937,True
C-193,Bishakha Swaminathan,Female,18-25,7,564651,Premium,Bronze,6104,2026-01-06,pranitbala@example.net,3741672434,True
C-194,Saumya Srinivas,Female,25-35,8,886805,Regular,Gold,1557,2024-08-26,choprayuvraj@example.net,2909656101,True
C-195,Sanaya Prasad,Female,25-35,10,798250,Premium,Bronze,5294,2023-05-11,ojasvi11@example.net,5457387571,True
C-196,Charita Basu,Female,45-55,1,051238,Premium,Silver,5999,2021-07-13,gangasandhu@example.com,6226609379,True
C-197,Samesh Mallick,Male,35-45,3,918255,Regular,Bronze,1438,2021-08-31,lalavrishti@example.net,9696915579,True
C-198,Krish Munshi,Male,35-45,4,341252,Regular,Bronze,2105,2023-07-10,kdevi@example.com,2782827422,True
C-199,Jagrati Andra,Female,35-45,8,236887,Premium,Silver,616,2022-12-03,tsagar@example.com,2190340438,True
C-200,Yasti Chowdhury,Male,45-55,3,485807,Regular,Platinum,3232,2023-09-25,vchaudry@example.net,4074517133,True
C-201,Noah Dewan,Female,18-25,1,309584,New,Silver,6135,2024-01-12,ekiyamaster@example.com,8126042232,True
C-202,Lucky Luthra,Female,35-45,5,671168,Premium,Silver,3862,2024-12-08,suhani75@example.net,1751863637,True
C-203,Kalpit Sundaram,Female,25-35,1,001701,Premium,Silver,3803,2025-12-31,ridhishan@example.org,3242415415,True
C-204,Vivaan Sanghvi,Female,18-25,5,103712,Regular,Platinum,304,2024-01-05,aandra@example.net,1627136111,True
C-205,Lavanya Deol,Female,18-25,5,189092,Premium,Gold,4403,2023-02-08,maxsabharwal@example.net,3112196565,True
C-206,Yuvraj Mane,Female,45-55,3,438983,Regular,Silver,6087,2024-12-04,chatura37@example.com,3791805526,True
C-207,Urishilla Bora,Female,25-35,9,910430,New,Silver,6829,2025-12-16,stoor@example.net,6618892414,True
C-208,Eta Raman,Female,35-45,8,463031,Premium,Silver,1779,2025-12-21,settychristopher@example.com,1020275884,True
C-209,Jacob Balan,Female,25-35,8,648149,Regular,Platinum,5617,2024-03-19,gshah@example.com,7925241913,True
C-210,Yash Batra,Female,18-25,6,562208,New,Gold,7931,2025-04-02,ukapur@example.org,5419518023,True
C-211,Udyati Mandal,Female,18-25,2,518705,Regular,Silver,4891,2021-09-08,xavier75@example.net,3832060385,True
C-212,Damyanti Chawla,Male,35-45,1,836702,Regular,Bronze,6446,2024-09-16,bassivincent@example.net,5719182619,True
C-213,Warjas Manne,Male,18-25,10,565574,Regular,Silver,6660,2021-11-18,labanchopra@example.org,2775618537,True
C-214,Gautam Dugar,Female,25-35,4,903521,Premium,Gold,1185,2024-09-15,meghana80@example.net,4206788317,True
C-215,David Kapadia,Female,25-35,3,365199,Premium,Silver,211,2022-01-12,bainsdhruv@example.org,2151070296,True
C-216,Pooja Gera,Male,35-45,3,324472,Regular,Silver,129,2020-09-14,chakrikatara@example.com,0146263838,True
C-217,Vedhika Padmanabhan,Female,18-25,3,642059,Regular,Bronze,4309,2021-10-18,dalbir78@example.com,2133480396,True
C-218,Eesha Parmer,Male,45-55,2,599293,New,Bronze,4204,2025-06-14,lmore@example.com,1039308705,True
C-219,Peter Naik,Male,45-55,10,029218,Regular,Bronze,355,2025-08-04,prakashmeghana@example.net,5452267528,True
C-220,Kritika Mohanty,Female,45-55,9,220969,Premium,Platinum,3923,2020-09-09,timothy91@example.com,5135521570,True
C-221,Inaya Kunda,Female,18-25,7,006762,New,Bronze,3633,2025-09-25,wradhakrishnan@example.net,1793271040,True
C-222,Hema Garde,Male,35-45,2,218159,Regular,Platinum,2252,2026-05-01,bbalasubramanian@example.net,9620153368,True
C-223,Wazir Char,Female,45-55,10,698720,Regular,Silver,4959,2022-08-20,schahal@example.net,3103241714,True
C-224,Gavin Ram,Male,18-25,7,565270,Regular,Silver,7275,2022-01-21,olall@example.com,2115869380,True
C-225,Warinder Soni,Female,35-45,4,160898,New,Silver,5976,2025-03-27,jaisen@example.org,3320616329,True
C-226,Lipika Ranganathan,Female,45-55,2,487099,Regular,Silver,3066,2023-08-05,achowdhury@example.org,9991191485,True
C-227,Urvashi Barad,Female,18-25,3,462996,Premium,Bronze,763,2020-09-23,wazir07@example.com,0544471324,True
C-228,Gaurav Guha,Male,35-45,7,367850,Regular,Silver,4804,2023-07-20,dominicmukhopadhyay@example.net,2890233030,True
C-229,Anusha Pillay,Female,18-25,9,861035,New,Silver,5450,2023-05-24,egoel@example.net,5241406029,True
C-230,Amruta Rout,Male,35-45,7,072290,Regular,Silver,4734,2021-10-28,anvi66@example.com,4374896910,True
C-231,Chanchal Chokshi,Male,25-35,9,154544,New,Gold,886,2024-05-19,raghav28@example.org,9652074466,True
C-232,Hemal Kapadia,Female,18-25,6,584282,Regular,Silver,6612,2022-03-28,vdave@example.com,5135346554,True
C-233,Upma Bera,Male,35-45,7,738168,Premium,Gold,5756,2022-04-07,doralaksh@example.org,6972521752,True
C-234,Anusha Kadakia,Female,35-45,5,927129,Premium,Gold,1173,2023-01-25,braval@example.com,0083505830,True
C-235,Devika Dayal,Female,18-25,10,689421,Regular,Bronze,7961,2025-05-17,bina78@example.net,6257532603,True
C-236,Yamini Gara,Male,25-35,1,506489,New,Silver,2792,2020-10-14,chokshianmol@example.org,6761847230,True
C-237,Laksh Sahota,Female,35-45,3,891411,Regular,Bronze,4649,2023-06-12,adyavirk@example.org,6420873753,True
C-238,Wakeeta Dixit,Male,18-25,10,811437,Regular,Gold,5061,2026-05-08,aishani70@example.org,0455611002,True
C-239,Amrita Chander,Male,35-45,1,521667,New,Silver,3978,2022-02-09,zsridhar@example.com,1202169797,True
C-240,Ayush De,Female,45-55,10,716701,Regular,Gold,4197,2022-01-18,advik89@example.net,5889163756,True
C-241,Advay Dugar,Female,45-55,2,721753,Premium,Gold,5558,2022-06-17,chandresh83@example.net,6317797177,True
C-242,Harshil Raval,Female,35-45,10,088019,Premium,Gold,4909,2026-03-14,yashoda83@example.net,5503758997,True
C-243,Tristan Agate,Male,25-35,1,548851,Regular,Bronze,6286,2020-10-08,waidadey@example.net,1493316373,True
C-244,Jatin Seshadri,Female,35-45,3,982708,Regular,Gold,4074,2024-11-08,gsubramanian@example.org,2169958669,True
C-245,Chaitaly Sethi,Male,25-35,7,269848,New,Silver,1885,2025-08-04,saikadakia@example.net,5228851587,True
C-246,Pahal Arya,Female,18-25,9,062003,New,Bronze,346,2022-01-29,bhavinikrishna@example.org,4380571983,True
C-247,Champak Raj,Male,45-55,7,658004,Premium,Bronze,4716,2021-09-13,okar@example.net,9893347212,True
C-248,Banjeet Sangha,Female,45-55,7,842294,Regular,Gold,170,2020-07-14,cdubey@example.org,9094798515,True
C-249,Yashasvi Dutta,Male,45-55,6,886153,Regular,Platinum,6918,2025-09-23,garima54@example.org,8015739930,True
C-250,Aahana Zachariah,Male,45-55,2,085887,New,Silver,3242,2023-05-19,reyansh58@example.org,2880133613,True
C-251,Arjun Sharaf,Female,25-35,5,011024,Regular,Bronze,625,2023-10-21,aarnareddy@example.com,6650618091,True
C-252,Yadavi Cherian,Male,25-35,9,491476,Regular,Silver,7849,2022-11-02,somnaksh@example.net,2684245088,True
C-253,Meera Yogi,Male,18-25,3,435368,Regular,Gold,1421,2021-05-05,timothykrishnan@example.org,2908781414,True
C-254,Ganga Parikh,Male,18-25,10,314913,Regular,Bronze,5144,2022-05-19,nnarasimhan@example.net,9299556205,True
C-255,Jagvi Desai,Female,45-55,8,777547,Regular,Bronze,5138,2023-10-07,finnmand@example.org,4110809969,True
C-256,Urmi Dixit,Male,45-55,6,639427,Premium,Silver,5172,2023-06-19,ranganathanjanuja@example.net,3928272299,True
C-257,Theodore Sura,Female,18-25,5,145303,Regular,Silver,2542,2023-07-26,lipika77@example.org,5184498926,True
C-258,Zansi Krishnamurthy,Female,18-25,8,386557,Premium,Silver,2351,2025-03-10,thakerliam@example.com,3184322259,True
C-259,Ishaan Subramaniam,Male,45-55,2,739260,New,Silver,7817,2021-12-10,naveendesai@example.net,9202428699,True
C-260,Saumya Sinha,Female,25-35,1,236929,Regular,Silver,4107,2025-05-09,yastilalla@example.org,7991366210,True
C-261,Mason Char,Male,45-55,3,799088,Premium,Bronze,6859,2024-12-13,subramaniamkalpit@example.net,6865086376,True
C-262,Pavani Desai,Male,25-35,6,731498,Premium,Gold,3586,2022-12-02,abdulamble@example.net,8063565126,True
C-263,Jasmit Majumdar,Male,35-45,8,368872,Regular,Bronze,3173,2022-09-10,tkulkarni@example.net,6213721386,True
C-264,Naveen Ramachandran,Female,18-25,7,127961,Regular,Platinum,774,2020-11-17,kamalabuch@example.net,6698490277,True
C-265,Robert Bandi,Female,35-45,9,920530,Regular,Bronze,5378,2026-04-10,majumdarmugdha@example.com,6938011848,True
C-266,Upkaar Hayer,Male,35-45,10,690426,Premium,Silver,1158,2023-06-30,thakurchaitaly@example.com,8489476973,True
C-267,Vasatika Dada,Female,45-55,6,163356,Regular,Silver,7684,2026-02-25,lallyuvraj@example.com,6518275539,True
C-268,Ryan Keer,Female,45-55,2,433339,Regular,Bronze,5489,2022-08-10,darfarhan@example.net,9080759579,True
C-269,Mitali Kapadia,Male,45-55,9,086780,Regular,Platinum,2530,2023-06-22,dghosh@example.org,5003691559,True
C-270,Warjas Luthra,Male,35-45,3,955276,New,Gold,1126,2021-09-29,janya64@example.com,9293143866,True
C-271,Aditya Goda,Male,35-45,3,728857,Premium,Silver,4421,2022-04-11,raohardik@example.net,0347175455,True
C-272,Anmol Sabharwal,Male,35-45,9,593998,Regular,Silver,1263,2021-07-14,isha58@example.com,1694722569,True
C-273,Neel Oza,Male,25-35,3,554496,New,Platinum,2984,2022-02-08,vpatil@example.net,6220234132,True
C-274,Urvashi Bhagat,Female,35-45,4,681149,New,Gold,1959,2021-06-02,omore@example.org,7228200557,True
C-275,Krishna Zacharia,Female,25-35,5,997968,Regular,Silver,4672,2024-04-14,idika78@example.org,7456424008,True
C-276,Abhiram Swamy,Female,35-45,8,406493,New,Silver,3429,2025-03-19,ranbir68@example.com,3266341638,True
C-277,Nitara Guha,Male,25-35,3,224179,Regular,Platinum,3936,2023-03-07,uguha@example.org,0802144270,True
C-278,Wakeeta Kalla,Male,18-25,6,647570,Regular,Platinum,1313,2022-06-15,dakshlata@example.com,8723460136,True
C-279,Triveni Chandra,Female,25-35,5,764520,New,Platinum,7458,2024-11-27,kulkarnivasana@example.net,3503136502,True
C-280,Xavier Andra,Female,35-45,4,979251,Premium,Silver,3247,2021-12-21,rchand@example.net,0052812735,True
C-281,Ansh Purohit,Female,25-35,9,240778,New,Bronze,3071,2022-03-30,kgupta@example.org,5749821827,True
C-282,Sudiksha Acharya,Male,35-45,4,209593,Premium,Bronze,5324,2022-05-26,yohannanlila@example.org,8294565118,True
C-283,Azad Jaggi,Male,25-35,6,731096,Premium,Gold,6797,2024-05-23,chandran53@example.net,0371705865,True
C-284,Ekavir Modi,Male,45-55,8,381138,New,Silver,7420,2022-10-12,yuvrajgola@example.net,1957612286,True
C-285,Indira Murty,Male,35-45,2,566593,Regular,Bronze,4495,2023-10-31,keyakumar@example.com,7600490824,True
C-286,Divya Bains,Female,18-25,10,888992,Regular,Gold,998,2021-01-21,jparekh@example.org,5933441969,True
C-287,Oscar Sura,Male,45-55,1,940961,New,Platinum,6854,2025-02-11,ijaya66@example.org,9060480589,True
C-288,Michael Bedi,Male,25-35,8,799813,Regular,Gold,12,2023-01-21,idivan@example.com,7908641686,True
C-289,Vinaya Rana,Female,25-35,10,898331,New,Gold,5474,2022-01-28,rnaik@example.net,1665535590,True
C-290,Madhav Sastry,Female,18-25,2,335211,Premium,Silver,3851,2024-11-16,manbirmani@example.org,1477053833,True
C-291,Lohit Badami,Female,35-45,1,980420,Regular,Bronze,2925,2022-03-07,chatresh70@example.org,4510463681,True
C-292,Quincy Issac,Female,25-35,2,800384,Premium,Bronze,6022,2022-06-22,bdugar@example.com,5438404608,True
C-293,Maya Devan,Male,18-25,6,689363,Regular,Silver,6664,2023-11-22,mmuni@example.com,8232983248,True
C-294,Eesha Bir,Female,45-55,3,252056,Regular,Bronze,516,2026-03-10,saanvi42@example.org,2209949993,True
C-295,Jagrati Buch,Male,35-45,8,289752,Regular,Platinum,1634,2025-07-17,isom@example.org,3060463331,True
C-296,Ekta Shankar,Female,35-45,1,660965,New,Bronze,4448,2022-10-31,vermaikbal@example.com,0388608680,True
C-297,Daksha Mangal,Female,18-25,8,264908,Regular,Gold,7062,2025-11-05,fseth@example.net,2982665702,True
C-298,Gautam Krishna,Female,35-45,1,211175,Premium,Bronze,3579,2021-01-02,nvaidya@example.org,8602592222,True
C-299,Sanaya Mani,Female,45-55,7,123094,Regular,Bronze,4064,2020-07-28,itara@example.org,3397767199,True
C-300,Sarthak Bawa,Female,35-45,8,205020,Premium,Bronze,646,2024-06-12,garima10@example.org,2249998279,True
